Activity,Subject,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
Walking,1,-0.376906978,-0.296787399,0.015723503,-0.199894198,-0.141069208,-0.423697525,0.030152656,0.006678371,0.016666862,0.019444138,0.114229358,0.060420254,-0.847194989,-0.791954268,-0.759478837,-0.830744291,-0.676166351,-0.511973052,-0.570932488,-0.529336063,-0.418523604,-0.172524153,-0.075215124,0.016137334,0.003638017,0.012222515,-0.054002091,-0.042171983,-0.056684331,-0.114835862,-0.12019449,0.00716306,-0.006471207,-0.115742002,-0.570855028,-0.54459812,-0.544849656,-0.65053705,0.010686903,0.083829953,-0.112254999,-0.022431119,-0.061525389,-0.215916604,-0.169354869,-0.288315293,-0.340081895,-0.40297427,-0.301317098,-0.406809862,-0.346618284,-0.361050316,-0.83227062,-0.84232186,-0.839920493,-0.861060244,-0.85185739,-0.897536363,-0.882720805,-0.901851686,-0.910887957,-0.907110363,-0.621460609,-0.626384728,-0.396910382,-0.425463063
Walking Upstairs,1,-0.033810587,-0.289898855,0.098916229,-0.068393149,-0.156495947,-0.627978416,0.169655757,0.046922219,0.04410893,0.088672131,-0.010181721,0.143138654,-0.878479597,-0.898574158,-0.885153866,-0.87412941,-0.704221081,-0.380714958,-0.571602135,-0.226381107,-0.194904068,0.19135187,0.301764915,0.314302006,0.113269541,0.035430766,0.077704565,0.041960453,-0.035784464,-0.091580926,0.051830783,0.003500945,0.045591141,-0.036625926,-0.551103018,-0.515195436,-0.805375245,-0.628183256,0.019429763,0.176370644,-0.121286678,-0.277445909,-0.293245063,-0.472300031,-0.379185529,-0.457508019,-0.638721868,-0.559798598,-0.647153954,-0.653813586,-0.612587034,-0.737797982,-0.842120249,-0.866734741,-0.848151758,-0.900114335,-0.865002184,-0.890020898,-0.864553565,-0.859662883,-0.883470154,-0.853583825,-0.829044994,-0.819260271,-0.4106311,-0.493765468
Walking downstairs,1,-0.120850827,-0.364278513,0.099061744,-0.076923143,-0.158424579,-0.379347328,0.070282501,-0.020277311,-0.029123296,0.218841979,0.136493985,0.012752823,-0.851996771,-0.671053119,-0.926019799,-0.843313323,-0.826957098,-0.737379233,-0.547980265,-0.578476211,-0.507352804,-0.391865956,-0.518702563,-0.357881124,0.088833562,0.084543708,-0.017902116,0.087099931,0.008496471,-0.069619488,-0.078024718,0.005070619,0.063782339,-0.114338107,-0.466698576,-0.462543485,-0.388619398,-0.267631225,0.034603058,0.240692215,0.042760577,0.105837896,0.043697335,-0.099616516,-0.114266873,-0.061105621,-0.459543825,-0.357754149,-0.463695303,-0.531444711,-0.335616528,-0.239194406,-0.835687098,-0.745857698,-0.831685501,-0.845000363,-0.863630895,-0.838652638,-0.8417366,-0.837316817,-0.883285628,-0.852251089,-0.804152958,-0.802931071,-0.569701219,-0.445298369
Sitting,1,-0.077192836,-0.226625375,0.067375179,-0.139622657,-0.133134391,-0.456306827,0.00176668,0.05043477,-0.120755182,-0.033219049,0.095388602,-0.040146276,-0.52790618,-0.638457233,-0.808972003,-0.766319684,-0.873334926,-0.784641028,-0.619647754,-0.675672641,-0.689734113,-0.586841256,-0.508893431,-0.03780382,-0.092009746,0.104483125,0.010625985,-0.082415431,-0.028749032,-0.091254256,-0.169917803,0.194642596,0.083953862,0.008329365,-0.620279919,-0.6084456,-0.428928752,-0.642820809,0.164724375,0.103159085,0.070684292,0.002095205,0.004683579,-0.122151377,-0.196128973,-0.210072436,-0.353136001,-0.448536428,-0.266882813,-0.4205526,-0.289654517,-0.306563452,-0.82943621,-0.835135596,-0.846816992,-0.831965999,-0.847006109,-0.882050299,-0.813899916,-0.843578237,-0.846966832,-0.864698572,-0.816845831,-0.788949986,-0.603142408,-0.639277114
Standing,1,-0.02242245,-0.248419049,0.236646397,-0.061810499,-0.142832325,-0.634593547,0.051798899,0.042362907,0.088137743,0.131131995,0.050304708,0.029233717,-0.963541708,-0.967453767,-0.880187149,-0.813048552,-0.73288504,-0.409959496,-0.711046964,-0.505233016,-0.152585632,0.017418255,0.466642298,0.313969219,0.080539611,0.027480734,0.019705427,0.03317671,0.00353472,-0.012753489,0.101040331,-0.121386139,0.059807574,-0.029045428,-0.772098983,-0.664146715,-0.845197664,-0.768248595,0.125465028,0.16086117,0.022755634,-0.07864139,-0.167422061,-0.163877856,-0.269509427,-0.464132043,-0.533618473,-0.632112831,-0.695954254,-0.680630155,-0.750776983,-0.696585164,-0.924246736,-0.907057882,-0.931713041,-0.925529437,-0.939055442,-0.916285469,-0.906668703,-0.910557039,-0.938198092,-0.93397432,-0.788855862,-0.779019571,-0.30759637,-0.328576037
Laying,1,-0.193430664,-0.263958123,0.118011934,-0.082234618,-0.167917172,-0.563715201,0.004133663,0.031167051,0.049635371,-0.044697308,0.195551723,-0.06274758,-0.458043606,-0.770360498,-0.821349754,-0.89271804,-0.888207476,-0.735639058,-0.718473698,-0.693963001,-0.643850309,-0.389870921,-0.198556976,0.338358853,0.154744135,0.07345725,0.138737411,0.038154409,-0.069726099,0.09456628,-0.047498482,0.015030358,0.005784957,0.102174493,-0.725074544,-0.682742699,-0.717587288,-0.636030484,0.127083107,0.256888272,0.044037904,-0.014647059,0.017195275,0.06341687,-0.031303245,-0.105433884,-0.415688458,-0.30840086,-0.329782738,-0.440618148,-0.426872046,-0.506336841,-0.78147038,-0.853953091,-0.84259947,-0.871577861,-0.833712785,-0.870473614,-0.830064946,-0.806475896,-0.879416499,-0.873845844,-0.837700322,-0.807175533,-0.552132014,-0.559873398
Walking,2,-0.045579887,-0.350385994,0.13930169,-0.090927755,-0.096047503,-0.542759252,0.005291677,0.088352886,0.037274656,0.021997832,0.07754308,-0.073078729,-0.595324872,-0.752422347,-0.865056251,-0.883661667,-0.776993052,-0.780665989,-0.683445236,-0.696610687,-0.649258727,-0.443199475,-0.341435605,-0.050958905,0.014365123,0.02096891,-0.007923949,0.043013349,0.091534103,0.026554761,-0.009557051,-0.016775349,-0.108413577,0.002307355,-0.700444383,-0.604757162,-0.31760216,-0.667069238,0.17000991,0.010699913,0.065130998,0.016228958,-0.053186029,-0.260325951,-0.321474439,-0.330800437,-0.542234578,-0.622649462,-0.61727698,-0.554855706,-0.678253169,-0.619871682,-0.871636951,-0.924791528,-0.918071515,-0.867781137,-0.891137451,-0.93559298,-0.872091628,-0.88308655,-0.911570668,-0.899802427,-0.757099136,-0.77639745,-0.432562291,-0.482626564
Walking Upstairs,2,-0.330172001,-0.399399866,0.201474472,-0.104708296,-0.12732738,-0.586435465,0.19822684,0.061808613,0.04049873,0.157954401,0.112454933,-0.051274329,-0.731287264,-0.851969675,-0.811121889,-0.878528694,-0.723731892,-0.685473151,-0.752817715,-0.5109079,-0.150702279,-0.297670872,0.384734188,0.225211582,0.023564349,-0.027522963,-0.052653598,0.100942436,-0.002217345,-0.097367507,0.089415337,-0.007233497,-0.108720552,-0.010039592,-0.699444069,-0.786410104,-0.715390147,-0.753238219,0.163052814,0.279271906,0.015801542,-0.079171207,-0.144661296,-0.152937549,-0.223738253,-0.370512009,-0.357251189,-0.654382917,-0.535994004,-0.600360357,-0.746934677,-0.661371627,-0.882302609,-0.905197878,-0.911747346,-0.883974353,-0.903463965,-0.929977637,-0.886755754,-0.913250807,-0.903825538,-0.906393139,-0.870426295,-0.823595036,-0.472231219,-0.417218414
Walking downstairs,2,-0.470448487,0.074352349,0.23777207,-0.045774104,-0.125363969,-0.574035742,0.169588814,0.036928756,0.046939237,0.142487523,0.021031968,-0.046626913,-0.906130816,-0.968693946,-0.879234255,-0.873201809,-0.688053952,-0.707251241,-0.686538638,-0.771324496,-0.476217102,-0.468054615,0.097321166,0.308352516,-0.016337434,-0.027927953,0.020839721,0.020494393,0.010813059,-0.028310787,-0.017246672,0.073101796,0.062951095,-0.121500979,-0.756540719,-0.716511699,-0.798700244,-0.737153535,0.123586447,0.107607918,-0.079637097,-0.065459154,-0.135261015,-0.222908615,-0.31843578,-0.446268602,-0.680121417,-0.491749014,-0.69182225,-0.668596119,-0.727981208,-0.599329876,-0.929381069,-0.943132091,-0.948449376,-0.948543524,-0.947904003,-0.957817728,-0.887068732,-0.931442727,-0.930688914,-0.939433718,-0.814671173,-0.78743945,-0.32424398,-0.340681847
Sitting,2,-0.192824113,-0.454766753,0.190145438,-0.051828582,-0.150132276,-0.675550091,0.010631148,-0.004163716,0.035278055,-0.029980634,0.085697571,-0.00705019,-0.787709839,-0.816603845,-0.881575388,-0.818955709,-0.751694297,-0.628304749,-0.68223099,-0.662971292,-0.353295011,-0.053781495,0.151755583,0.220537137,0.023029061,-0.12633967,-0.001340339,-0.065786627,0.094071565,-0.100513624,-0.110051502,-0.054164814,-0.034091301,-0.048848937,-0.758197079,-0.530877944,-0.611705205,-0.775162957,0.001525501,-0.012588896,-0.069562113,-0.199565104,-0.217297112,-0.413625149,-0.55032746,-0.523703676,-0.490438457,-0.711327799,-0.797228431,-0.816942086,-0.774189785,-0.797517605,-0.825121621,-0.903652642,-0.854231347,-0.890744851,-0.906548311,-0.885588087,-0.911864194,-0.849912168,-0.918026174,-0.909622523,-0.749451511,-0.702365775,-0.505394038,-0.337460744
